team_name,confederation,elo_rating,elo_external,fifa_rank,squad_value_eur,gdp_per_capita_usd,population_millions,world_cups_won,wc_appearances,culture_index,structural_strength,matches_played,historical_win_rate,avg_goals_for,avg_goals_against,recent_form,is_host_2026
Găgăuzia,OTHER,1479.9,1479.9,100,50000000.0,5000.0,10.0,0,0,-0.255,0.071,3,0.0,0.667,3.0,-2.332,0
Kenya,OTHER,1479.9,1479.9,100,50000000.0,5000.0,10.0,0,0,-0.255,0.071,386,0.355,1.155,1.122,-0.271,0
Mayotte,OTHER,1479.3,1479.3,100,50000000.0,5000.0,10.0,0,0,-0.257,0.067,38,0.289,1.342,1.474,0.104,0
Marshall Islands,OTHER,1479.1,1479.1,100,50000000.0,5000.0,10.0,0,0,-0.258,0.065,2,0.0,1.0,3.5,-2.497,0
Nicaragua,OTHER,1477.5,1477.5,100,50000000.0,5000.0,10.0,0,0,-0.262,0.053,177,0.266,1.096,1.91,-1.012,0
Palau,OTHER,1475.8,1475.8,100,50000000.0,5000.0,10.0,0,0,-0.266,0.041,1,0.0,2.0,15.0,-13.0,0
Saint Barthélemy,OTHER,1475.2,1475.2,100,50000000.0,5000.0,10.0,0,0,-0.268,0.037,10,0.4,2.5,3.0,1.341,0
Chechnya,OTHER,1473.5,1473.5,100,50000000.0,5000.0,10.0,0,0,-0.273,0.023,3,0.0,1.0,9.667,-9.078,0
Western Isles,OTHER,1471.7,1471.7,100,50000000.0,5000.0,10.0,0,0,-0.278,0.011,34,0.382,1.5,2.265,-0.296,0
Kyrgyzstan,OTHER,1470.9,1470.9,100,50000000.0,5000.0,10.0,0,0,-0.28,0.004,189,0.302,1.164,1.693,-0.498,0
Belarus,OTHER,1465.4,1465.4,100,50000000.0,5000.0,10.0,0,0,-0.295,-0.036,301,0.296,1.133,1.449,-0.056,0
Cuba,OTHER,1463.1,1463.1,100,50000000.0,5000.0,10.0,0,0,-0.301,-0.053,276,0.38,1.384,1.464,-0.445,0
Turkmenistan,OTHER,1462.5,1462.5,100,50000000.0,5000.0,10.0,0,0,-0.303,-0.058,175,0.366,1.514,1.52,0.093,0
Sudan,OTHER,1461.1,1461.1,100,50000000.0,5000.0,10.0,0,0,-0.307,-0.068,342,0.304,1.003,1.319,-0.954,0
Provence,OTHER,1460.2,1460.2,100,50000000.0,5000.0,10.0,0,0,-0.309,-0.075,21,0.381,3.476,2.571,4.336,0
Vatican City,OTHER,1460.0,1460.0,100,50000000.0,5000.0,10.0,0,0,-0.31,-0.076,8,0.0,0.75,2.625,-1.744,0
Madagascar,OTHER,1459.8,1459.8,100,50000000.0,5000.0,10.0,0,0,-0.31,-0.078,227,0.33,1.185,1.326,-0.043,0
Togo,OTHER,1459.5,1459.5,100,50000000.0,5000.0,10.0,0,3,-0.156,0.122,308,0.305,1.052,1.308,0.132,0
Western Sahara,OTHER,1458.1,1458.1,100,50000000.0,5000.0,10.0,0,0,-0.315,-0.09,9,0.222,1.778,4.222,-4.036,0
Sierra Leone,OTHER,1456.5,1456.5,100,50000000.0,5000.0,10.0,0,0,-0.319,-0.102,194,0.299,0.912,1.299,-0.242,0
Montenegro,UEFA,1455.0,1455.0,24,280000000.0,33388.0,10.25,0,0,-0.323,0.011,167,0.341,1.192,1.353,-0.427,0
Bulgaria,OTHER,1454.6,1454.6,100,50000000.0,5000.0,10.0,0,10,0.193,0.557,343,0.367,1.257,1.309,-0.612,0
Namibia,OTHER,1452.6,1452.6,100,50000000.0,5000.0,10.0,0,0,-0.33,-0.131,278,0.252,0.982,1.424,-0.956,0
Ticino,OTHER,1451.1,1451.1,100,50000000.0,5000.0,10.0,0,0,-0.334,-0.142,2,0.0,1.0,6.5,-5.429,0
Equatorial Guinea,OTHER,1449.1,1449.1,100,50000000.0,5000.0,10.0,0,0,-0.34,-0.157,162,0.296,0.914,1.432,-0.55,0
Monaco,OTHER,1448.6,1448.6,100,50000000.0,5000.0,10.0,0,0,-0.341,-0.16,24,0.333,1.708,3.667,-0.795,0
Niger,OTHER,1445.7,1445.7,100,50000000.0,5000.0,10.0,0,0,-0.349,-0.182,199,0.241,0.985,1.578,0.008,0
Orkney,OTHER,1444.3,1444.3,100,50000000.0,5000.0,10.0,0,0,-0.353,-0.192,28,0.321,1.357,3.0,0.6,0
Tanzania,OTHER,1444.1,1444.1,100,50000000.0,5000.0,10.0,0,0,-0.353,-0.194,368,0.28,0.989,1.264,-0.264,0
Comoros,OTHER,1443.6,1443.6,100,50000000.0,5000.0,10.0,0,0,-0.355,-0.197,145,0.241,0.883,1.572,-0.363,0
Saint Helena,OTHER,1442.7,1442.7,100,50000000.0,5000.0,10.0,0,0,-0.357,-0.204,8,0.0,0.75,5.125,-3.818,0
Mauritania,OTHER,1441.8,1441.8,100,50000000.0,5000.0,10.0,0,0,-0.359,-0.21,200,0.23,0.735,1.355,-0.5,0
Micronesia,OTHER,1439.6,1439.6,100,50000000.0,5000.0,10.0,0,0,-0.366,-0.227,7,0.143,1.143,8.429,-12.392,0
Wallis Islands and Futuna,OTHER,1439.4,1439.4,100,50000000.0,5000.0,10.0,0,0,-0.366,-0.229,9,0.111,0.778,6.222,-8.291,0
Sark,OTHER,1435.9,1435.9,100,50000000.0,5000.0,10.0,0,0,-0.376,-0.254,4,0.0,0.0,17.5,-17.495,0
Malawi,OTHER,1435.2,1435.2,100,50000000.0,5000.0,10.0,0,0,-0.378,-0.259,377,0.292,0.968,1.231,-0.199,0
Chagos Islands,OTHER,1434.5,1434.5,100,50000000.0,5000.0,10.0,0,0,-0.38,-0.265,16,0.188,1.75,4.75,-4.954,0
Barawa,OTHER,1431.7,1431.7,100,50000000.0,5000.0,10.0,0,0,-0.387,-0.285,12,0.25,1.333,3.833,-2.694,0
Rwanda,OTHER,1430.9,1430.9,100,50000000.0,5000.0,10.0,0,0,-0.389,-0.291,270,0.315,1.041,1.174,-0.051,0
Two Sicilies,OTHER,1429.7,1429.7,100,50000000.0,5000.0,10.0,0,0,-0.393,-0.3,6,0.167,0.5,3.0,-4.502,0
Hitra,OTHER,1426.8,1426.8,100,50000000.0,5000.0,10.0,0,0,-0.401,-0.321,23,0.261,1.609,4.0,0.717,0
Gozo,OTHER,1426.5,1426.5,100,50000000.0,5000.0,10.0,0,0,-0.401,-0.324,14,0.286,2.214,2.0,-0.376,0
Burundi,OTHER,1420.5,1420.5,100,50000000.0,5000.0,10.0,0,0,-0.418,-0.368,201,0.308,1.085,1.274,-1.075,0
Liberia,OTHER,1420.0,1420.0,100,50000000.0,5000.0,10.0,0,0,-0.419,-0.372,201,0.274,0.935,1.502,-0.389,0
Kiribati,OTHER,1419.4,1419.4,100,50000000.0,5000.0,10.0,0,0,-0.421,-0.376,8,0.0,0.5,10.75,-11.011,0
Saint Pierre and Miquelon,OTHER,1418.4,1418.4,100,50000000.0,5000.0,10.0,0,0,-0.424,-0.384,7,0.0,0.286,11.143,-11.582,0
Guinea-Bissau,OTHER,1411.9,1411.9,100,50000000.0,5000.0,10.0,0,0,-0.441,-0.432,139,0.266,0.942,1.453,-0.955,0
Raetia,OTHER,1408.7,1408.7,100,50000000.0,5000.0,10.0,0,0,-0.45,-0.456,26,0.231,1.654,3.962,2.111,0
Ethiopia,OTHER,1408.7,1408.7,100,50000000.0,5000.0,10.0,0,0,-0.45,-0.455,253,0.32,1.162,1.462,-0.479,0
Saare County,OTHER,1408.4,1408.4,100,50000000.0,5000.0,10.0,0,0,-0.451,-0.458,35,0.143,1.171,2.543,-0.012,0
Botswana,OTHER,1406.2,1406.2,100,50000000.0,5000.0,10.0,0,0,-0.457,-0.474,313,0.278,0.812,1.179,-1.061,0
Bermuda,OTHER,1405.3,1405.3,100,50000000.0,5000.0,10.0,0,0,-0.459,-0.48,159,0.39,1.818,1.635,-1.039,0
Puerto Rico,OTHER,1400.8,1400.8,100,50000000.0,5000.0,10.0,0,0,-0.472,-0.514,122,0.32,1.5,1.811,-0.057,0
Philippines,OTHER,1400.6,1400.6,100,50000000.0,5000.0,10.0,0,0,-0.472,-0.516,250,0.312,1.244,1.856,1.359,0
Sint Maarten,OTHER,1396.7,1396.7,100,50000000.0,5000.0,10.0,0,0,-0.483,-0.544,57,0.351,1.509,2.439,-0.55,0
Saint Kitts and Nevis,OTHER,1395.5,1395.5,100,50000000.0,5000.0,10.0,0,0,-0.486,-0.553,213,0.404,1.756,1.592,-0.455,0
Ambazonia,OTHER,1394.5,1394.5,100,50000000.0,5000.0,10.0,0,0,-0.489,-0.56,6,0.0,0.5,2.833,-2.558,0
Saint Vincent and the Grenadines,OTHER,1391.1,1391.1,100,50000000.0,5000.0,10.0,0,0,-0.498,-0.585,173,0.353,1.578,2.052,0.938,0
Hong Kong,OTHER,1388.9,1388.9,100,50000000.0,5000.0,10.0,0,0,-0.504,-0.602,253,0.316,1.466,1.609,1.084,0
Congo,OTHER,1388.7,1388.7,100,50000000.0,5000.0,10.0,0,0,-0.505,-0.603,236,0.288,1.025,1.356,-1.333,0
Armenia,UEFA,1388.2,1388.2,24,280000000.0,33388.0,10.25,0,0,-0.506,-0.483,271,0.24,1.011,1.83,-1.521,0
Tibet,OTHER,1387.6,1387.6,100,50000000.0,5000.0,10.0,0,0,-0.508,-0.611,21,0.048,1.429,5.762,-2.56,0
Kazakhstan,OTHER,1386.8,1386.8,100,50000000.0,5000.0,10.0,0,0,-0.51,-0.617,268,0.261,1.149,1.657,-0.671,0
Central African Republic,OTHER,1384.7,1384.7,100,50000000.0,5000.0,10.0,0,0,-0.516,-0.633,105,0.238,1.057,1.743,-1.142,0
Yemen,OTHER,1384.7,1384.7,100,50000000.0,5000.0,10.0,0,0,-0.516,-0.633,232,0.224,1.047,1.78,1.45,0
India,AFC,1375.3,1375.3,23,120000000.0,33147.0,44.0,0,0,-0.542,-0.567,302,0.354,1.318,1.497,-0.79,0
Tuvalu,OTHER,1374.9,1374.9,100,50000000.0,5000.0,10.0,0,0,-0.543,-0.706,34,0.206,1.029,4.882,-1.036,0
Lesotho,OTHER,1374.3,1374.3,100,50000000.0,5000.0,10.0,0,0,-0.544,-0.71,264,0.189,0.78,1.473,-0.79,0
Falkland Islands,OTHER,1368.0,1368.0,100,50000000.0,5000.0,10.0,0,0,-0.562,-0.756,33,0.182,0.939,3.667,-2.495,0
Samoa,OTHER,1367.2,1367.2,100,50000000.0,5000.0,10.0,0,0,-0.564,-0.762,58,0.362,1.5,3.017,-1.144,0
Singapore,OTHER,1364.2,1364.2,100,50000000.0,5000.0,10.0,0,0,-0.572,-0.784,380,0.371,1.361,1.511,0.314,0
Frøya,OTHER,1364.1,1364.1,100,50000000.0,5000.0,10.0,0,0,-0.572,-0.785,37,0.189,1.622,3.946,-4.471,0
Estonia,OTHER,1359.0,1359.0,100,50000000.0,5000.0,10.0,0,0,-0.586,-0.823,430,0.247,0.872,1.7,-0.705,0
Grenada,OTHER,1358.2,1358.2,100,50000000.0,5000.0,10.0,0,0,-0.588,-0.829,201,0.299,1.512,1.955,-0.752,0
Belize,OTHER,1358.0,1358.0,100,50000000.0,5000.0,10.0,0,0,-0.589,-0.83,120,0.258,1.108,1.925,-0.49,0
Saint Lucia,OTHER,1344.1,1344.1,100,50000000.0,5000.0,10.0,0,0,-0.627,-0.933,183,0.355,1.399,1.842,-1.773,0
Afghanistan,OTHER,1335.3,1335.3,100,50000000.0,5000.0,10.0,0,0,-0.651,-0.998,126,0.278,1.024,1.77,-0.965,0
Azerbaijan,UEFA,1334.9,1334.9,24,280000000.0,33388.0,10.25,0,0,-0.652,-0.878,309,0.197,0.77,1.68,-1.06,0
Bonaire,OTHER,1334.8,1334.8,100,50000000.0,5000.0,10.0,0,0,-0.652,-1.002,44,0.318,1.432,2.477,-1.145,0
Saint Martin,OTHER,1334.2,1334.2,100,50000000.0,5000.0,10.0,0,0,-0.654,-1.007,68,0.368,1.485,2.456,0.25,0
Darfur,OTHER,1329.6,1329.6,100,50000000.0,5000.0,10.0,0,0,-0.667,-1.04,7,0.0,0.143,14.143,-14.77,0
Antigua and Barbuda,OTHER,1327.6,1327.6,100,50000000.0,5000.0,10.0,0,0,-0.672,-1.055,199,0.317,1.392,1.799,-1.798,0
Luxembourg,OTHER,1324.1,1324.1,100,50000000.0,5000.0,10.0,0,0,-0.682,-1.081,291,0.131,0.591,2.155,-1.119,0
Eswatini,OTHER,1319.7,1319.7,100,50000000.0,5000.0,10.0,0,0,-0.694,-1.113,253,0.206,0.842,1.593,-1.32,0
Eritrea,OTHER,1316.0,1316.0,100,50000000.0,5000.0,10.0,0,0,-0.704,-1.141,71,0.155,0.676,1.704,-1.546,0
Montserrat,OTHER,1311.3,1311.3,100,50000000.0,5000.0,10.0,0,0,-0.717,-1.175,66,0.258,1.091,2.955,-1.19,0
Dominica,OTHER,1310.0,1310.0,100,50000000.0,5000.0,10.0,0,0,-0.721,-1.185,149,0.262,1.181,2.034,-1.086,0
Cook Islands,OTHER,1307.6,1307.6,100,50000000.0,5000.0,10.0,0,0,-0.727,-1.203,50,0.22,0.82,4.06,-2.573,0
Lithuania,OTHER,1304.2,1304.2,100,50000000.0,5000.0,10.0,0,0,-0.736,-1.228,345,0.249,0.913,1.629,-1.005,0
South Sudan,OTHER,1303.3,1303.3,100,50000000.0,5000.0,10.0,0,0,-0.739,-1.235,78,0.154,0.641,1.821,-1.355,0
Barbados,OTHER,1301.7,1301.7,100,50000000.0,5000.0,10.0,0,0,-0.743,-1.247,217,0.341,1.396,1.659,-0.698,0
Latvia,OTHER,1301.1,1301.1,100,50000000.0,5000.0,10.0,0,0,-0.745,-1.251,353,0.249,0.992,1.51,-0.931,0
Cyprus,OTHER,1299.7,1299.7,100,50000000.0,5000.0,10.0,0,0,-0.749,-1.261,311,0.248,1.039,1.884,-0.25,0
Aruba,OTHER,1299.1,1299.1,100,50000000.0,5000.0,10.0,0,0,-0.75,-1.266,95,0.232,1.295,2.337,-0.239,0
Chad,OTHER,1294.8,1294.8,100,50000000.0,5000.0,10.0,0,0,-0.762,-1.297,109,0.183,0.761,1.67,-1.11,0
Faroe Islands,OTHER,1271.9,1271.9,100,50000000.0,5000.0,10.0,0,0,-0.825,-1.467,263,0.183,0.76,2.24,0.183,0
Alderney,OTHER,1269.0,1269.0,100,50000000.0,5000.0,10.0,0,0,-0.833,-1.488,57,0.053,0.596,4.456,-3.07,0
Tonga,OTHER,1262.1,1262.1,100,50000000.0,5000.0,10.0,0,0,-0.852,-1.539,61,0.23,1.148,3.689,-1.245,0
Northern Mariana Islands,OTHER,1254.1,1254.1,100,50000000.0,5000.0,10.0,0,0,-0.873,-1.598,30,0.133,0.9,4.3,-1.95,0
Myanmar,OTHER,1249.6,1249.6,100,50000000.0,5000.0,10.0,0,0,-0.886,-1.631,258,0.326,1.318,2.035,-1.012,0
São Tomé and Príncipe,OTHER,1248.6,1248.6,100,50000000.0,5000.0,10.0,0,0,-0.889,-1.639,63,0.143,0.667,2.556,-2.047,0
Mauritius,OTHER,1246.3,1246.3,100,50000000.0,5000.0,10.0,0,0,-0.895,-1.656,218,0.211,0.862,1.706,-0.926,0
Bangladesh,OTHER,1239.7,1239.7,100,50000000.0,5000.0,10.0,0,0,-0.913,-1.705,230,0.274,0.878,1.696,-0.558,0
Nepal,OTHER,1236.6,1236.6,100,50000000.0,5000.0,10.0,0,0,-0.922,-1.728,212,0.245,0.868,2.052,-1.057,0
Moldova,OTHER,1234.6,1234.6,100,50000000.0,5000.0,10.0,0,0,-0.927,-1.742,298,0.191,0.802,1.748,-1.59,0
Malta,OTHER,1223.2,1223.2,100,50000000.0,5000.0,10.0,0,0,-0.958,-1.827,338,0.148,0.666,2.133,-0.888,0
Cayman Islands,OTHER,1214.7,1214.7,100,50000000.0,5000.0,10.0,0,0,-0.981,-1.89,118,0.212,0.983,2.449,-1.083,0
Turks and Caicos Islands,OTHER,1213.8,1213.8,100,50000000.0,5000.0,10.0,0,0,-0.984,-1.896,52,0.231,1.0,3.596,-0.817,0
Maldives,OTHER,1209.7,1209.7,100,50000000.0,5000.0,10.0,0,0,-0.995,-1.927,219,0.283,1.242,2.132,-1.304,0
Pakistan,OTHER,1207.9,1207.9,100,50000000.0,5000.0,10.0,0,0,-1.0,-1.94,160,0.194,0.744,2.35,-0.534,0
Taiwan,OTHER,1207.8,1207.8,100,50000000.0,5000.0,10.0,0,0,-1.0,-1.94,150,0.233,1.107,2.68,-1.799,0
Bahamas,OTHER,1201.9,1201.9,100,50000000.0,5000.0,10.0,0,0,-1.016,-1.984,66,0.212,1.136,3.106,-2.876,0
Mongolia,OTHER,1199.8,1199.8,100,50000000.0,5000.0,10.0,0,0,-1.022,-2.0,99,0.253,1.152,2.879,-2.217,0
Cambodia,OTHER,1196.8,1196.8,100,50000000.0,5000.0,10.0,0,0,-1.03,-2.022,206,0.209,1.078,2.767,0.33,0
Somalia,OTHER,1187.1,1187.1,100,50000000.0,5000.0,10.0,0,0,-1.057,-2.093,86,0.081,0.349,2.674,-1.343,0
Gibraltar,OTHER,1185.8,1185.8,100,50000000.0,5000.0,10.0,0,0,-1.061,-2.104,160,0.25,1.131,2.475,-0.476,0
American Samoa,OTHER,1184.9,1184.9,100,50000000.0,5000.0,10.0,0,0,-1.063,-2.11,48,0.062,0.542,6.438,-4.946,0
Sri Lanka,OTHER,1173.4,1173.4,100,50000000.0,5000.0,10.0,0,0,-1.094,-2.195,208,0.221,0.942,2.062,-0.507,0
Guam,OTHER,1157.1,1157.1,100,50000000.0,5000.0,10.0,0,0,-1.139,-2.315,117,0.197,1.085,4.863,-1.807,0
Djibouti,OTHER,1149.1,1149.1,100,50000000.0,5000.0,10.0,0,0,-1.161,-2.375,95,0.063,0.611,3.547,-2.252,0
United States Virgin Islands,OTHER,1147.9,1147.9,100,50000000.0,5000.0,10.0,0,0,-1.164,-2.383,78,0.128,0.692,3.782,-0.244,0
British Virgin Islands,OTHER,1145.3,1145.3,100,50000000.0,5000.0,10.0,0,0,-1.171,-2.403,119,0.168,0.933,3.0,-0.143,0
Seychelles,OTHER,1135.6,1135.6,100,50000000.0,5000.0,10.0,0,0,-1.198,-2.474,153,0.144,0.719,2.327,-4.371,0
Laos,OTHER,1132.4,1132.4,100,50000000.0,5000.0,10.0,0,0,-1.207,-2.498,185,0.211,1.07,3.011,-1.737,0
Timor-Leste,OTHER,1111.6,1111.6,100,50000000.0,5000.0,10.0,0,0,-1.264,-2.652,86,0.105,0.826,3.302,-2.211,0
Brunei,OTHER,1106.4,1106.4,100,50000000.0,5000.0,10.0,0,0,-1.278,-2.69,103,0.184,0.854,2.951,-2.264,0
Andorra,OTHER,1095.3,1095.3,100,50000000.0,5000.0,10.0,0,0,-1.308,-2.772,229,0.061,0.328,2.371,-1.162,0
Bhutan,OTHER,1081.3,1081.3,100,50000000.0,5000.0,10.0,0,0,-1.347,-2.876,101,0.109,0.574,3.703,-2.513,0
Anguilla,OTHER,1076.5,1076.5,100,50000000.0,5000.0,10.0,0,0,-1.36,-2.911,90,0.078,0.578,3.867,-2.107,0
Macau,OTHER,1063.3,1063.3,100,50000000.0,5000.0,10.0,0,0,-1.396,-3.009,121,0.14,0.818,3.165,-2.996,0
Liechtenstein,OTHER,1032.2,1032.2,100,50000000.0,5000.0,10.0,0,0,-1.481,-3.239,253,0.067,0.391,2.822,-2.462,0
San Marino,OTHER,910.7,910.7,100,50000000.0,5000.0,10.0,0,0,-1.814,-4.137,225,0.013,0.196,3.956,-2.349,0
